icd_prompt_key,baseline,mean_jaccard,std_jaccard,n
p1,Greedy,0.378590,0.181946,60
p1,Direct Sampling,0.301906,0.149093,60
p1,VCD,0.341222,0.180168,60
p1,APC (beta=0.1),0.358606,0.180602,60
p2,Greedy,0.377958,0.183179,60
p2,Direct Sampling,0.306975,0.151281,60
p2,VCD,0.353796,0.179975,60
p2,APC (beta=0.1),0.360202,0.181214,60
n1,Greedy,0.392264,0.174653,60
n1,Direct Sampling,0.306453,0.150707,60
n1,VCD,0.364213,0.179319,60
n1,APC (beta=0.1),0.366781,0.174568,60
n2,Greedy,0.387415,0.177197,60
n2,Direct Sampling,0.306920,0.152178,60
n2,VCD,0.355657,0.179125,60
n2,APC (beta=0.1),0.362275,0.173019,60
p3,Greedy,0.388406,0.177931,60
p3,Direct Sampling,0.311207,0.145247,60
p3,VCD,0.355531,0.181598,60
p3,APC (beta=0.1),0.357799,0.176871,60
mean_of_5,Greedy,0.384927,0.005672,60
mean_of_5,Direct Sampling,0.306692,0.002949,60
mean_of_5,VCD,0.354084,0.007385,60
mean_of_5,APC (beta=0.1),0.361133,0.003212,60
