beta,vs_greedy,vs_greedy_lo,vs_greedy_hi,vs_sample,vs_sample_lo,vs_sample_hi,diff,diff_lo,diff_hi,n
0.000,0.399263,0.347868,0.455474,0.341894,0.297572,0.392452,0.057369,0.032167,0.086540,60
0.025,0.421739,0.371428,0.477610,0.360624,0.311993,0.415774,0.061115,0.039787,0.084816,60
0.050,0.407295,0.359802,0.461202,0.353046,0.308815,0.402519,0.054249,0.026749,0.084777,60
0.075,0.445358,0.391777,0.502903,0.385680,0.334524,0.442510,0.059679,0.030035,0.091169,60
0.100,0.419729,0.378093,0.466217,0.356981,0.316441,0.404892,0.062748,0.043600,0.084311,60
0.200,0.474724,0.418098,0.534083,0.414955,0.356564,0.479312,0.059769,0.023557,0.096580,60
0.300,0.495268,0.441275,0.552467,0.399407,0.346117,0.458397,0.095861,0.061538,0.134315,60
0.400,0.515756,0.460460,0.574742,0.418752,0.362165,0.481660,0.097004,0.058154,0.139720,60
0.500,0.530378,0.474845,0.587686,0.427214,0.368884,0.491554,0.103164,0.062982,0.146193,60
0.600,0.564242,0.507446,0.623584,0.405427,0.352298,0.464372,0.158815,0.114557,0.208886,60
0.700,0.618354,0.558955,0.679251,0.414569,0.358534,0.477424,0.203784,0.149138,0.261489,60
0.800,0.628287,0.566762,0.691861,0.417147,0.362596,0.477262,0.211140,0.157806,0.268105,60
0.900,0.725687,0.671412,0.779849,0.414965,0.359810,0.474919,0.310723,0.254277,0.368950,60
1.000,0.732916,0.674470,0.790286,0.415485,0.359940,0.476282,0.317431,0.255978,0.381050,60
