subtask,method,yes_to_no,no_to_yes,yes_pct,accuracy
OCR,apc (sample),235,246,50.0,0.7
OCR,baseline (sample),235,319,57.5,0.625
OCR,icd (greedy),94,4,42.5,0.725
OCR,icd (sample),273,211,40.0,0.6
OCR,olm (greedy),0,563,82.5,0.575
OCR,pba (greedy),0,310,60.0,0.75
OCR,sid (greedy),101,55,45.0,0.75
OCR,sid (sample),217,186,57.5,0.675
OCR,vcd (greedy),30,292,45.0,0.8
OCR,vcd (sample),125,330,47.5,0.575
artwork,apc (sample),235,246,50.25,0.6375
artwork,baseline (sample),235,319,54.0,0.665
artwork,icd (greedy),94,4,45.25,0.7175
artwork,icd (sample),273,211,48.25,0.7025
artwork,olm (greedy),0,563,77.0,0.65
artwork,pba (greedy),0,310,64.75,0.7175
artwork,sid (greedy),101,55,46.5,0.755
artwork,sid (sample),217,186,50.75,0.6925
artwork,vcd (greedy),30,292,71.25,0.6875
artwork,vcd (sample),125,330,67.5,0.685
celebrity,apc (sample),235,246,35.29,0.6353
celebrity,baseline (sample),235,319,43.53,0.6765
celebrity,icd (greedy),94,4,29.12,0.7794
celebrity,icd (sample),273,211,33.24,0.6853
celebrity,olm (greedy),0,563,62.94,0.7529
celebrity,pba (greedy),0,310,55.59,0.7559
celebrity,sid (greedy),101,55,30.0,0.7588
celebrity,sid (sample),217,186,30.0,0.7118
celebrity,vcd (greedy),30,292,56.47,0.8059
celebrity,vcd (sample),125,330,50.59,0.7529
code_reasoning,apc (sample),235,246,30.0,0.6
code_reasoning,baseline (sample),235,319,40.0,0.55
code_reasoning,icd (greedy),94,4,17.5,0.575
code_reasoning,icd (sample),273,211,35.0,0.4
code_reasoning,olm (greedy),0,563,90.0,0.5
code_reasoning,pba (greedy),0,310,50.0,0.4
code_reasoning,sid (greedy),101,55,27.5,0.575
code_reasoning,sid (sample),217,186,47.5,0.475
code_reasoning,vcd (greedy),30,292,17.5,0.525
code_reasoning,vcd (sample),125,330,40.0,0.45
cognition_total,apc (sample),235,246,,
cognition_total,baseline (sample),235,319,,
cognition_total,icd (greedy),94,4,,
cognition_total,icd (sample),273,211,,
cognition_total,olm (greedy),0,563,,
cognition_total,pba (greedy),0,310,,
cognition_total,sid (greedy),101,55,,
cognition_total,sid (sample),217,186,,
cognition_total,vcd (greedy),30,292,,
cognition_total,vcd (sample),125,330,,
color,apc (sample),235,246,46.67,0.8333
color,baseline (sample),235,319,53.33,0.7667
color,icd (greedy),94,4,50.0,0.9
color,icd (sample),273,211,53.33,0.8667
color,olm (greedy),0,563,66.67,0.8333
color,pba (greedy),0,310,58.33,0.85
color,sid (greedy),101,55,56.67,0.8333
color,sid (sample),217,186,60.0,0.8
color,vcd (greedy),30,292,60.0,0.8
color,vcd (sample),125,330,58.33,0.8167
commonsense_reasoning,apc (sample),235,246,44.29,0.5857
commonsense_reasoning,baseline (sample),235,319,46.43,0.6214
commonsense_reasoning,icd (greedy),94,4,42.86,0.7
commonsense_reasoning,icd (sample),273,211,42.14,0.6786
commonsense_reasoning,olm (greedy),0,563,75.0,0.6786
commonsense_reasoning,pba (greedy),0,310,63.57,0.7214
commonsense_reasoning,sid (greedy),101,55,35.71,0.6714
commonsense_reasoning,sid (sample),217,186,33.57,0.65
commonsense_reasoning,vcd (greedy),30,292,45.71,0.7143
commonsense_reasoning,vcd (sample),125,330,45.0,0.65
count,apc (sample),235,246,43.33,0.6667
count,baseline (sample),235,319,51.67,0.6833
count,icd (greedy),94,4,45.0,0.85
count,icd (sample),273,211,55.0,0.7833
count,olm (greedy),0,563,80.0,0.6667
count,pba (greedy),0,310,60.0,0.7667
count,sid (greedy),101,55,51.67,0.8167
count,sid (sample),217,186,51.67,0.6833
count,vcd (greedy),30,292,66.67,0.7667
count,vcd (sample),125,330,60.0,0.8
existence,apc (sample),235,246,48.33,0.95
existence,baseline (sample),235,319,46.67,0.9333
existence,icd (greedy),94,4,46.67,0.9667
existence,icd (sample),273,211,45.0,0.9167
existence,olm (greedy),0,563,51.67,0.95
existence,pba (greedy),0,310,50.0,0.9667
existence,sid (greedy),101,55,51.67,0.95
existence,sid (sample),217,186,50.0,0.9333
existence,vcd (greedy),30,292,51.67,0.95
existence,vcd (sample),125,330,50.0,0.9667
landmark,apc (sample),235,246,44.0,0.75
landmark,baseline (sample),235,319,44.0,0.745
landmark,icd (greedy),94,4,42.25,0.8575
landmark,icd (sample),273,211,35.5,0.745
landmark,olm (greedy),0,563,67.75,0.8175
landmark,pba (greedy),0,310,58.25,0.8725
landmark,sid (greedy),101,55,46.75,0.8575
landmark,sid (sample),217,186,43.25,0.7625
landmark,vcd (greedy),30,292,58.75,0.8725
landmark,vcd (sample),125,330,52.5,0.795
numerical_calculation,apc (sample),235,246,42.5,0.375
numerical_calculation,baseline (sample),235,319,47.5,0.525
numerical_calculation,icd (greedy),94,4,15.0,0.4
numerical_calculation,icd (sample),273,211,32.5,0.575
numerical_calculation,olm (greedy),0,563,77.5,0.525
numerical_calculation,pba (greedy),0,310,27.5,0.375
numerical_calculation,sid (greedy),101,55,15.0,0.4
numerical_calculation,sid (sample),217,186,25.0,0.5
numerical_calculation,vcd (greedy),30,292,25.0,0.35
numerical_calculation,vcd (sample),125,330,37.5,0.325
perception_total,apc (sample),235,246,,
perception_total,baseline (sample),235,319,,
perception_total,icd (greedy),94,4,,
perception_total,icd (sample),273,211,,
perception_total,olm (greedy),0,563,,
perception_total,pba (greedy),0,310,,
perception_total,sid (greedy),101,55,,
