Category,Method,Accuracy,dAccuracy,Yes(%),dYes(%)
Random,sample,84.1,,46.1,
Random,VCD,87.4,+3.3,50.3,+4.2
Random,ICD,86.8,+2.7,45.3,-0.9
Random,SID,87.4,+3.3,48.6,+2.5
Random,sample†,86.7,+2.7,45.7,-0.5
Popular,sample,80.6,,49.4,
Popular,VCD,82.6,+2.0,54.5,+5.1
Popular,ICD,83.9,+3.2,47.9,-1.6
Popular,SID,82.9,+2.3,52.3,+2.8
Popular,sample†,83.5,+2.9,49.2,-0.2
Adversarial,sample,76.5,,54.0,
Adversarial,VCD,76.9,+0.4,61.2,+7.2
Adversarial,ICD,78.0,+1.6,54.7,+0.7
Adversarial,SID,76.8,+0.3,58.6,+4.6
Adversarial,sample†,76.8,+0.3,55.6,+1.6
