Category,Method,Accuracy,dAccuracy,Yes(%),dYes(%)
Random,sample,85.5,,46.2,
Random,VCD,88.0,+2.5,51.1,+4.9
Random,ICD,87.5,+2.0,45.2,-1.0
Random,SID,87.5,+1.9,48.1,+1.9
Random,sample†,87.1,+1.6,45.9,-0.3
Popular,sample,79.2,,52.6,
Popular,VCD,80.8,+1.6,57.6,+5.0
Popular,ICD,80.5,+1.3,50.8,-1.9
Popular,SID,81.2,+2.1,54.6,+1.9
Popular,sample†,81.3,+2.1,51.8,-0.8
Adversarial,sample,75.2,,55.7,
Adversarial,VCD,77.0,+1.8,61.5,+5.8
Adversarial,ICD,78.3,+3.0,53.5,-2.2
Adversarial,SID,77.8,+2.5,59.0,+3.3
Adversarial,sample†,78.2,+3.0,55.1,-0.6
