Dataset,Split,Method,MeanDelta,Accuracy,YesRatio
coco,Random,vcd,-2.1137,66.07%,18.07%
coco,Random,icd,-0.7042,88.10%,41.03%
coco,Popular,vcd,-2.0404,64.50%,19.43%
coco,Popular,icd,-0.5644,86.77%,42.43%
coco,Adversarial,vcd,-1.7971,63.47%,20.40%
coco,Adversarial,icd,-0.2432,83.93%,45.33%
gqa,Random,vcd,-1.7338,68.73%,22.47%
gqa,Random,icd,-0.1809,89.80%,48.07%
gqa,Popular,vcd,-1.2372,62.70%,28.17%
gqa,Popular,icd,0.3738,84.13%,53.80%
gqa,Adversarial,vcd,-1.0995,61.80%,29.47%
gqa,Adversarial,icd,0.6021,80.53%,57.33%
aokvqa,Random,vcd,-1.6518,69.83%,24.17%
aokvqa,Random,icd,-0.1999,89.20%,46.93%
aokvqa,Popular,vcd,-1.3975,67.13%,27.20%
aokvqa,Popular,icd,0.1587,84.80%,51.33%
aokvqa,Adversarial,vcd,-1.0424,62.57%,30.77%
aokvqa,Adversarial,icd,0.6256,77.77%,58.30%
