Split,Method,Accuracy,Precision,Recall,F1-Score,Yes Ratio
Random,greedy,88.57%,98.74%,78.13%,87.23%,39.57%
Random,vcd,89.03%,98.59%,79.20%,87.84%,40.17%
Random,icd,88.23%,98.81%,77.40%,86.80%,39.17%
Random,sid,88.97%,98.35%,79.27%,87.78%,40.30%
Random,pba,89.00%,98.75%,79.00%,87.78%,40.00%
Random,olm,90.63%,98.03%,82.93%,89.85%,42.30%
Popular,greedy,87.57%,96.30%,78.13%,86.27%,40.57%
Popular,vcd,87.87%,95.66%,79.33%,86.73%,41.47%
Popular,icd,87.17%,95.96%,77.60%,85.81%,40.43%
Popular,sid,87.70%,95.35%,79.27%,86.57%,41.57%
Popular,pba,88.00%,96.34%,79.00%,86.81%,41.00%
Popular,olm,89.33%,95.11%,82.93%,88.60%,43.60%
Adversarial,greedy,86.70%,94.08%,78.33%,85.49%,41.63%
Adversarial,vcd,86.80%,93.33%,79.27%,85.72%,42.47%
Adversarial,icd,86.27%,93.80%,77.67%,84.97%,41.40%
Adversarial,sid,86.27%,92.17%,79.27%,85.23%,43.00%
Adversarial,pba,87.00%,93.84%,79.20%,85.90%,42.20%
Adversarial,olm,87.57%,91.34%,83.00%,86.97%,45.43%
