Split,Method,Accuracy,Precision,Recall,F1-Score,Yes Ratio
Random,greedy,87.03%,96.64%,76.73%,85.54%,39.70%
Random,vcd,88.23%,92.58%,83.13%,87.60%,44.90%
Random,icd,86.63%,97.33%,75.33%,84.93%,38.70%
Random,sid,88.30%,94.50%,81.33%,87.42%,43.03%
Random,pba,88.17%,96.51%,79.20%,87.00%,41.03%
Random,olm,89.47%,93.21%,85.13%,88.99%,45.67%
Popular,greedy,85.93%,94.04%,76.73%,84.51%,40.80%
Popular,vcd,86.37%,88.50%,83.60%,85.98%,47.23%
Popular,icd,85.30%,94.38%,75.07%,83.62%,39.77%
Popular,sid,85.97%,89.76%,81.20%,85.26%,45.23%
Popular,pba,86.43%,92.60%,79.20%,85.38%,42.77%
Popular,olm,87.17%,88.74%,85.13%,86.90%,47.97%
Adversarial,greedy,83.40%,88.60%,76.67%,82.20%,43.27%
Adversarial,vcd,82.37%,81.63%,83.53%,82.57%,51.17%
Adversarial,icd,83.13%,89.70%,74.87%,81.61%,41.73%
Adversarial,sid,82.40%,83.33%,81.00%,82.15%,48.60%
Adversarial,pba,83.73%,87.21%,79.07%,82.94%,45.33%
Adversarial,olm,82.87%,81.48%,85.07%,83.24%,52.20%
