layer,delta_all_mean,delta_halluc_mean,clean_margin_halluc_mean,noisy_margin_halluc_mean
0,0.0,0.0,4.7109375,4.7109375
1,-0.09203278,-0.09859743,0.28377002,0.38236743
2,-0.08459625,-0.11108874,-1.9758937,-1.864805
3,0.17910655,0.17360014,-2.0885973,-2.2621975
4,0.4607469,0.47267905,-0.28818664,-0.7608657
5,0.2793978,0.26725894,0.78501564,0.5177567
6,0.32789508,0.32690525,1.1420499,0.8151447
7,-0.2506571,-0.2865166,3.1249468,3.4114635
8,-0.044774957,-0.07741823,3.1380184,3.2154365
9,0.08970616,0.051700816,2.319469,2.2677681
10,0.22558355,0.1745197,4.568595,4.3940754
11,0.053673178,-0.08753344,6.7459874,6.833521
12,-0.21278125,-0.29023287,7.4226503,7.712883
13,0.13558811,0.234375,4.907527,4.673152
14,0.39122656,1.2011946,6.047118,4.8459234
15,0.47166535,1.3779943,5.495364,4.11737
16,1.3873924,3.2354693,9.073899,5.8384304
17,2.8450313,7.9748907,13.828885,5.8539944
18,3.0609574,9.42151,16.856457,7.4349465
19,5.366962,17.879622,10.343842,-7.5357795
20,5.0173,16.575298,10.205952,-6.3693457
21,4.5693836,16.7072,22.23164,5.524441
22,4.788854,15.219784,18.456652,3.2368677
23,4.378117,13.7233095,16.723978,3.0006688
24,4.8952394,15.156068,12.525961,-2.630107
25,4.212643,13.150535,11.882144,-1.2683913
26,3.853743,12.090072,11.254043,-0.8360287
27,3.5386963,11.27356,9.970787,-1.3027724
28,3.2284384,10.10138,8.885123,-1.2162573
29,2.630487,6.6122327,1.4521219,-5.1601105
30,2.10244,5.712792,1.2585421,-4.45425
31,1.8706459,5.188716,0.3805934,-4.8081226
32,1.2341303,3.3162086,1.1110165,-2.205192
