layer,probe_truth_acc,probe_truth_auc,probe_truth_bal_acc,probe_halluc_acc,probe_halluc_auc,probe_halluc_bal_acc,cd_change_mean,cd_change_norm
0,0.5,0.5,0.5,0.9424444444444444,0.49836128107762157,0.5,0.0,0.0
1,0.7124444444444444,0.7853210370370372,0.7124444444444444,0.9286666666666666,0.7208396795758266,0.5289425073674071,0.23228254914283752,0.006321556520964846
2,0.7277777777777777,0.7960722962962963,0.7277777777777777,0.9248888888888889,0.7252869806512814,0.5360012891255522,0.3103809952735901,0.008447001343388796
3,0.7471111111111111,0.8232649382716051,0.7471111111111111,0.9233333333333333,0.7379023851553915,0.5605524849806859,0.3634042739868164,0.00989002689373444
4,0.7747777777777778,0.8478550617283951,0.7747777777777778,0.9284444444444444,0.7380334826691818,0.5832027668858605,0.46156129240989685,0.012561364633830117
5,0.8503333333333334,0.9138562962962963,0.8503333333333334,0.9353333333333333,0.7886516893826491,0.6448609319394512,0.6147392392158508,0.016730093847765744
6,0.8668888888888889,0.9279161975308642,0.8668888888888888,0.9422222222222222,0.8012106491238772,0.6829552292886412,0.6794725060462952,0.018491806066636366
7,0.8858888888888888,0.9396141728395062,0.885888888888889,0.9402222222222222,0.8135065034381234,0.7018328160747402,0.8349689841270447,0.02272363397891731
8,0.9123333333333333,0.9577289876543209,0.9123333333333333,0.9484444444444444,0.8714843789118725,0.7351966781346644,1.013939619064331,0.027594309750833806
9,0.9317777777777778,0.9682157530864196,0.9317777777777778,0.9564444444444444,0.9206996601479034,0.7630048278480253,1.1359214782714844,0.03091403919394498
10,0.9464444444444444,0.9756244444444445,0.9464444444444444,0.9653333333333334,0.9397971083894215,0.8184736425717327,2.1134402751922607,0.057517158316941694
11,0.9496666666666667,0.9785345679012345,0.9496666666666667,0.9657777777777777,0.9451466152715859,0.8259598568487981,2.80216383934021,0.07626073140991793
12,0.9567777777777777,0.9815169382716049,0.9567777777777777,0.9731111111111111,0.9697219367108544,0.858852132018838,3.5455410480499268,0.09649170036818355
13,0.9602222222222222,0.9826707160493828,0.9602222222222223,0.9855555555555555,0.9950665456442396,0.9198325047181448,5.887371063232422,0.16022447262377248
14,0.9601111111111111,0.9824158518518519,0.9601111111111111,0.9931111111111111,0.9990996149920932,0.9600930974427792,9.748449325561523,0.2653035005458094
15,0.9613333333333334,0.9838367901234567,0.9613333333333334,0.9928888888888889,0.9994810723412468,0.959975200720308,12.352463722229004,0.3361716060091132
16,0.9608888888888889,0.9848923950617284,0.9608888888888889,0.994,0.999620363449649,0.966002499956756,13.913263320922852,0.378648679372791
17,0.9606666666666667,0.9846846419753087,0.9606666666666667,0.9955555555555555,0.9997532817622419,0.9740781978461771,16.8967227935791,0.45984336125484154
18,0.9587777777777777,0.985497086419753,0.9587777777777777,0.9964444444444445,0.9997896977382947,0.9781749951521233,18.038578033447266,0.490918887437171
19,0.9604444444444444,0.9858774320987654,0.9604444444444444,0.996,0.9998197409185383,0.9761265964991501,20.923297882080078,0.5694263760004538
20,0.9605555555555556,0.9864099753086419,0.9605555555555556,0.996,0.9998160993209331,0.9761265964991501,22.571014404296875,0.614268888553198
21,0.9598888888888889,0.9859367901234569,0.9598888888888889,0.9957777777777778,0.9998133681227293,0.9741960945686482,24.361949920654297,0.6630090979827702
22,0.9604444444444444,0.9852860740740741,0.9604444444444444,0.9957777777777778,0.9998333969095582,0.9741960945686482,25.18056297302246,0.6852876061980502
23,0.9625555555555556,0.9855473086419753,0.9625555555555556,0.996,0.9998534256963874,0.9761265964991501,26.499622344970703,0.7211857328763123
24,0.9633333333333334,0.9856086419753086,0.9633333333333334,0.9964444444444445,0.9998552464951899,0.9763623899440923,27.76704978942871,0.7556786995495703
25,0.9617777777777777,0.9852795061728395,0.9617777777777777,0.9966666666666667,0.9998798272790256,0.9782928918745943,28.711673736572266,0.7813865871845249
26,0.9606666666666667,0.9843785679012345,0.9606666666666667,0.9966666666666667,0.99988984167244,0.9782928918745943,29.438905715942383,0.8011781646336529
27,0.9604444444444444,0.9846115061728395,0.9604444444444444,0.9968888888888889,0.9998843792760322,0.9765981833890346,31.28875732421875,0.8515217721937964
28,0.9601111111111111,0.9847972345679012,0.9601111111111111,0.9968888888888889,0.999869812885611,0.9765981833890346,32.73397445678711,0.8908532752374436
29,0.96,0.9851717530864197,0.96,0.9968888888888889,0.9998616192909993,0.9765981833890346,34.29410934448242,0.9333122585286521
30,0.9605555555555556,0.985055851851852,0.9605555555555556,0.9971111111111111,0.9998616192909991,0.9785286853195365,35.38663101196289,0.9630451743109288
31,0.9602222222222222,0.9851364938271605,0.9602222222222222,0.9971111111111111,0.9998570672939925,0.9767160801115058,36.7445182800293,0.9999999999999727
32,0.9603333333333334,0.9855021234567901,0.9603333333333334,0.9975555555555555,0.999849784098782,0.9787644787644787,17.898855209350586,0.48711633863160897
