layer,cd_raw_mean,clean_state_norm_mean,cd_relative_mean,cd_raw_norm,cd_relative_norm,probe_truth_auc,probe_halluc_auc
0,0.0,1.0392766,0.0,0.0,0.0,0.5,0.49707135640128275
1,2.320094,15.2290125,0.15251006,0.01532870357815321,0.28519436440313356,0.8695261728395062,0.8100709545263001
2,3.7813592,20.390844,0.18527609,0.024983182371420342,0.34646695697029656,0.9042001975308641,0.8166848079867364
3,4.3994017,24.61145,0.17874269,0.029066546822606763,0.3342494769139954,0.9132769382716048,0.818707199094073
4,5.7212415,26.19724,0.21837631,0.03779985231285459,0.40836448293957167,0.9472257283950617,0.84383821521951
5,8.40645,31.724648,0.26484904,0.05554084374479234,0.49526865197849784,0.9666644938271605,0.9033759125572102
6,9.709349,42.11585,0.23045449,0.06414900468068294,0.4309507246964808,0.9679991111111111,0.9098189284743883
7,10.219555,45.90052,0.22260001,0.06751990240419692,0.4162628252484798,0.9771737777777777,0.9328429482329703
8,19.79381,51.09842,0.38686073,0.13077635229334714,0.7234309537620061,0.9800891851851852,0.9325029001706747
9,22.012203,53.3043,0.41257584,0.14543312573423936,0.7715183070070117,0.982868888888889,0.935076852489103
10,23.909494,64.4804,0.37067166,0.15796839921530587,0.6931573373150139,0.98598,0.9593243944622603
11,25.81474,70.15463,0.36776033,0.17055622187862646,0.6877131411063787,0.9876934814814814,0.9684812867809163
12,26.013464,71.066956,0.36591253,0.17186918272991414,0.6842577417397442,0.987938172839506,0.9738537207603408
13,26.655418,75.16282,0.35467947,0.176110531823936,0.6632518762213329,0.9882628148148147,0.9747713624212724
14,30.05318,82.31392,0.36501187,0.19855931565187349,0.682573511807499,0.9894303209876544,0.981586966885176
15,32.63286,88.93224,0.36696514,0.21560306953761457,0.6862261412370109,0.9894263703703703,0.9883830470584215
16,37.4013,94.59168,0.3955317,0.24710782910733733,0.739645728216416,0.9904148148148149,0.9952507162974136
17,42.20437,95.49101,0.44195074,0.2788413855482843,0.8264494709842756,0.9909361481481481,0.9968809945673661
18,47.022457,100.15308,0.46933264,0.31067416795111824,0.8776537168420541,0.9916337777777777,0.9984136513840282
19,55.872246,114.538055,0.48804897,0.3691441182368194,0.9126533311873395,0.9916441975308642,0.9996274114532744
20,69.98689,130.96783,0.5347583,0.46239862796479464,1.0,0.9922188148148147,0.9996892383736917
21,85.91254,167.9845,0.51144606,0.5676182714489632,0.9564059700241514,0.9928212345679013,0.9998259084082985
22,95.147514,218.67079,0.4354881,0.6286331395658898,0.814364322881719,0.9932015802469136,0.9998730921107222
23,103.11372,253.92683,0.40642896,0.6812653419668909,0.7600236230231852,0.993287901234568,0.9998812272318298
24,110.00611,307.39948,0.35836738,0.726802875491253,0.6701482964984781,0.9926718024691358,0.9999251568858105
25,117.08568,364.67804,0.32144442,0.7735770916414388,0.6011022256958393,0.9921429135802469,0.9999267839100321
26,128.05913,450.02087,0.2849343,0.8460779256234249,0.5328281888183317,0.9920346172839506,0.9999398001038042
27,151.35619,625.16656,0.24222684,1.0,0.45296506057454083,0.9924407407407407,0.9999430541522472
28,86.215485,242.05716,0.35524985,0.5696198282153371,0.664318501305653,0.9917659753086421,0.99991376771626
